id,name,description,created_at,updated_at
1,Admin,Beheerder,"2018-04-26 13:00:00","2018-04-26 13:00:00"
2,Gebruiker,"Normale gebruikers van De Hutmut","2018-04-26 13:00:00","2018-04-26 13:00:00"
