id,product_id,einde_loting,active,created_at,updated_at
1,13766,"2018-04-22 00:15:05",1,"2018-04-21 00:15:05","2018-04-21 00:15:05"
2,13768,"2018-04-22 00:16:05",1,"2018-04-21 00:16:05","2018-04-21 00:16:05"
3,13761,"2018-04-22 00:17:59",1,"2018-04-21 00:17:59","2018-04-21 00:17:59"
4,13769,"2018-04-22 00:18:19",1,"2018-04-21 00:18:19","2018-04-21 00:18:19"
5,13769,"2018-04-22 00:37:22",1,"2018-04-21 00:37:22","2018-04-21 00:37:22"
6,13775,"2018-04-23 01:07:21",1,"2018-04-22 01:07:21","2018-04-22 01:07:21"
