id,question,anwser,created_at,updated_at
1,"Is De Hutmut Gratis?","Ja de hutmut is gratis, we zijn echter afhankelijk van donaties van onze leden. Donaties in de vorm van kleding, speelgoed, huisraad e.d.","2018-04-23 13:00:00","2018-04-23 13:00:00"
2,"Hoe werkt het loten?","Het loten werkt als volgt: Als je lid bent van de Facebook pagina kan je via de website inloggen met je Facebook account, daarna kun je in de winkel door de prodcuten heen bladeren, als je iets ziet wat je kan gebruiken kan je een lootje er op vragen.","2018-04-23 13:00:00","2018-04-23 13:00:00"
